Name,Prices,Ratings,Links,ASIN,Manufacturer,Descriptions,Product Descriptions
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),598,,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-1,B08Z1HHHTD,VIP Industries Ltd,Computers & Accessories,
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-2,B0BTD4S4XF,EXPERTS,"Bags, Wallets and Luggage",
Skybags Brat Black 46 Cms Casual Backpack,669,4.1,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-3,B09VTDMRY7,FUR JADEN,"Bags, Wallets and Luggage",
"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-4,B09TPX22NF,ADISA,Computers & Accessories,
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",699,,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-5,B085MHDJ93,Amazing Bags,Computers & Accessories,
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-6,B0BTD4FK9G,EXPERTS,Computers & Accessories,DESCRIPTION
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",529,,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-7,B09VTCNN75,FUR JADEN,Computers & Accessories,
"American Tourister VALEX BLUE LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,299",,https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4FK9G/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-8,B07M9BRCQ5,Fur Jaden,Computers & Accessories,
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",699,4.0,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-9,B07Q7CNPMV,Safari Industries (India) Ltd,Computers & Accessories,
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,899,,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1685159745&sprefix=ba%2Caps%2C283&sr=8-10,B09QJ7ZF2Y,,Fashion,
